big person backpack backpack small cell phone gray;A man in a blue shirt is hiking through green foliage
Walker_hound dog dog dimgray;A dog with a stick follows another dog through the water
horse_cart person person gray;A older couple next to the box office
otter beaver dog gray;The dog is fetching a stick in water
canoe speedboat paddle small person boat olivedrab;Man in a small white boat on a lake
person small person small person small person small person small person kite small person small person small person small handbag small person lightslategray;a person waving long red flags
whippet dog dog small sports ball gray;Two dog play with ball while one makes a big jump
big person big person gray;Two young twin girls in matching green and orange outfits jump in the air
parachute small person small surfboard dimgray;A surfer rides out the green and white waves
big person gray;a climber is climbing a rock face above a mattress that is lying on the ground below
dog gray;A brown dog runs toward the camera down a rocky trail through the brush with mountains in the background
beagle German_shepherd big dog potted plant small sports ball potted plant gray;A black and white dog jumps up as a ball is thrown over his head
tricycle barrow lawn_mower big person bicycle big potted plant dimgray;A girl in pink runs through a sprinkler
kimono ocarina big person big person person person person person person person big person small cup person person gray;There are oriental people standing together
Shetland_sheepdog Border_collie collie big dog gray;A collie jumps over a hurdle
hair_spray cellular_telephone big person small cup small cell phone big person small cup person gray;Two women dressed for cold weather in jackets and gloves look at something on a cellphone screen
mountain_bike big person bicycle big person big snowboard big person bicycle slategray;Three democrat supporters hold signs for an election
kimono ocarina big person big person person person person person person person big person small cup person person gray;A young girl gazes at something in the distance as those around her talk
big person backpack backpack small cell phone gray;A man hiking in the wilderness giving the camera a thumbs up
jinrikisha person person big person small handbag small person person backpack small person gray;Desperate Giant fan tries a creative approach to garner tickets
beagle person small person small sports ball small sports ball dimgray;Two women play catch in a yard
jinrikisha person person big person small handbag small person person backpack small person gray;A man holding up a red sign that offers the honest trade of a good poem for a Giant s ticket
bobsled person big person big train lightslategray bright;A man with sunglasses is helping a child with sunglasses slide down a slide
dogsled Saluki big dog gray bright;A white dog carries something in its mouth through the snow
patio small person small person small person small person gray;Four kids pose on a stage
big person big person gray dark;a girl looks at a woman s face
Scottish_deerhound Great_Dane big dog gray bright;A black dog wearing a blue collar is running through the snow
picket_fence coral_fungus person gray;a woman wearing a scarf over her hair in the distance behind some flowers
groom gown big person big person gray;Two young women sitting against a concrete wall
big person big dining table chair wine glass chair small cake cup dimgray;A little girl is eating cake and strawberries at a wooden table
canoe speedboat paddle small person boat olivedrab;A man in a white boat is rowing through fog
beagle German_shepherd big dog potted plant small sports ball potted plant gray;dog jumping looking up and small white ball in air passed by
horizontal_bar unicycle big person gray;a lady hangs from a tree with blue stuff tied around her
parachute small person small surfboard dimgray;A surfer rides a green wave
academic_gown person person big person big person person person person person person small handbag small handbag small person small book small backpack small book gray;A group of young people are walking through a park under blossoming trees
paddle big person slategray;A man waterskiing with one hand
bannister person gray;Someone in a blue coat and white sneakers is airborne
patio small person small person small person small person gray;Boys at an amphitheater
person small person small person small skateboard small skateboard small skateboard gray;A skateboarder on a ramp
volleyball big person big person small sports ball slategray bright;Two women in skimpy outfits play sand volleyball
lumbermill big person big person person car person handbag car backpack person small kite small car gray;A group of people are in the woods playing instruments
patio small person small person small person small person gray;four kids playfully pose in unusual architectural structure
Walker_hound dog dog dimgray;A collie and a black dog with a stick in the water
big person person person small person small person small truck gray;A man on the street wearing leather chaps and a chainmail codpiece
jersey big person cup person person person person person darkgray;A woman holds a drink and smiles
Shetland_sheepdog Border_collie collie big dog gray;A dog jumps over a barrier
person small person small person small skateboard small skateboard small skateboard gray;A man in a red shirt make a skateboard jump on a ramp with graffiti
snowmobile ski person small surfboard dimgray;A surfer rides the waves
otter beaver dog gray;A dog swimming with a stick in its mouth
big person bed gray;A lady with a yellow outfit is in the air above the bed in a yellow room
bannister person gray;A boy wearing a blue parka
beagle person small person small sports ball small sports ball dimgray;Two girls throw a ball back and forth in their backyard
redbone Doberman big dog small sports ball slategray;A dog chases after a yellow ball
big person backpack backpack small cell phone gray;A man wearing sunglasses and a blue shirt walks in a dense forest
American_Staffordshire_terrier Staffordshire_bullterrier big dog peru bright;A black dog running across barren terrain
big person gray;A man climbs a rock
person small person small person small person small person small person kite small person small person small person small handbag small person lightslategray;Lady waving two long red streamers around
rugby_ball big person big person small sports ball person gray;Boys playing tag football run down the field
tricycle barrow lawn_mower big person bicycle big potted plant dimgray;a blond girl in a pink bathing suit running through the sprinklers
American_Staffordshire_terrier Staffordshire_bullterrier big dog peru bright;A black pitbull dog is running through the dirt
soccer_ball big person big person teddy bear person suitcase small handbag gray;Two men in uniform carry a small girl and her things
Scottish_deerhound Great_Dane big dog gray bright;The black dog has a blue collar on
beagle person small person small sports ball small sports ball dimgray;Two girls throwing a football in their backyard
canoe speedboat paddle small person boat olivedrab;A man is riding in a boat on the water
jersey big person cup person person person person person darkgray;A woman holding a drink and smiling
bobsled person big person big train lightslategray bright;a man in sunglasses is holding a child at the top of a slide
African_hunting_dog boxer big dog gray;A big brown dog running
Bouvier_des_Flandres Tibetan_terrier big dog gray;A gray terrier runs in a snowcovered field
bannister person gray;A man wearing a blue jacket jumping from one concrete wall to the other
maypole person big person small tie tie person person small tie person person small tie small tie small person umbrella small person person person gray;A VFW group stand at attention at a funeral
basketball small sports ball person person small person small person small person small person small person small person person small person slategray;These people are playing basketball outdoors
Scottish_deerhound Irish_wolfhound dog dog gray;The dog chases a deer near the woods
crutch big person chair person small bowl person bed baseball bat lightslategray;a young boy wearing a blue outfit playing with a rocket
mountain_bike big person bicycle big person big snowboard big person bicycle slategray;Three people pose with their political signs out in public
promontory breakwater small bird small bird small bird small bird lightslategray;Birds are fleeing a rock that has recently been splashed by heavy waves
basketball small sports ball person person small person small person small person small person small person small person person small person slategray;A group of boys play basketball together
big person backpack backpack small cell phone gray;Man standing in the midst of plants is giving two thumbs up
dog gray;A dog running on a trail in the mountains
promontory breakwater small bird small bird small bird small bird lightslategray;A wave splashes the rocks as seagulls fly by
small person person small person person person person person big truck person person big bus person person person person person small person dimgray;There are a lot of people crowded around a blue sign
kimono ocarina big person big person person person person person person person big person small cup person person gray;A woman in a pink sweater looks pensive next to a crowd of laughing women
volleyball big person big person small sports ball slategray bright;Two female beach volleyball players face off at the net with the Beijing Olympics logo visible in the background
bobsled person big person big train lightslategray bright;A man holding girl at top of a slide
groom gown big person big person gray;Two young woman dressed in white shirts sit in a small space
big person big person gray;Twin girls in orange shirts and green pants are jumping
golden_retriever big dog gray;A furry dog with a collar is sitting in a pond
ski person backpack gray bright;A man in a green jacket stands in deep snow at the base of a mountain
ski person small backpack gray dark;A man hiking with a large backpack and two poles near a collection of pointy white rocks
Bouvier_des_Flandres Tibetan_terrier big dog gray;A furry dog running on an open field of grass
Airedale big person handbag person dog gray;A woman squatting to face a small child while holding a dog
lumbermill big person big person person car person handbag car backpack person small kite small car gray;Six men have a band practice in the woods
ski person small backpack gray dark;A hiker discovers a feature in an otherwise barren landscape
mountain_bike person big person bicycle bicycle dimgray;A man in red pushes his motocross bike up a rock
groom gown big person big person gray;a girl in colorful leggings and a white shirt sits next to similarly dressed girl in a small cubicle
mountain_bike person big person bicycle bicycle dimgray;A redclad man rides a bike through rocky ground while another man looks on
horizontal_bar unicycle big person gray;An acrobat entangles herself in fabric twisted in the trees above
academic_gown person person big person big person person person person person person small handbag small handbag small person small book small backpack small book gray;A group of students walking on campus
cloak big person dimgray;A brown haired woman wearing a red scarf near a stream
mountain_bike big person bicycle big person big snowboard big person bicycle slategray;Three people smiling and holding political signs
basketball small sports ball person person small person small person small person small person small person small person person small person slategray;Some teenagers are scrambling for a basketball underneath the net
horse_cart person person gray;Eldery couple wearing hats looking at tickets on the street
ski person backpack gray bright;A man crouched on a snowy peak
maypole person big person small tie tie person person small tie person person small tie small tie small person umbrella small person person person gray;A group of men wearing uniforms with hats gather holding flags
whippet dog dog small sports ball gray;Two dogs play with tennis ball in field
paddle big person slategray;Person in red ski jacket skiing backwards
big person small person small person person small person small person small person person small person person small person small umbrella gray;Two little boys brush dirt off each other as a man watches
horizontal_bar unicycle big person gray;A woman hanging from a tree
ballplayer big person small chair small baseball glove small person small chair small chair small person small person gray;A pitcher in a red and white uniform in a baseball game has just thrown the ball
German_shepherd kelpie big dog gray;A black dog is walking along the grass sniffing at the ground
redbone Doberman big dog small sports ball slategray;A brown dog is chasing after a yellow ball
mountain_bike big person bicycle big person big snowboard big person bicycle slategray;Three people with political signs
rugby_ball big person person small person small car small car small frisbee small car small person small car small truck small car small car small car small car small car small car small car dimgray dark;Two boys are running around a field
big person big person gray dark;A young girl with a worried look on her face touching a woman s face who s keeling down
ballplayer big person small chair small baseball glove small person small chair small chair small person small person gray;A baseball player on a playing field springs into action
small person person small person person person person person big truck person person big bus person person person person person small person dimgray;A large group of people are gathered
horse_cart person person gray;A man and woman stand in front of a white building and look at their hands
kimono ocarina big person big person person person person person person person big person small cup person person gray;A group of girls and guys hang out
unicycle big person small bottle big bench dimgray;A man is sitting on a bench
hair_spray cellular_telephone big person small cup small cell phone big person small cup person gray;Two girls bundled up in winter coats pose for a picture
theater_curtain barn skateboard person indianred;A girl is crouching on a skateboard next to a brightly colored wall
ballplayer big person small chair small baseball glove small person small chair small chair small person small person gray;A Philadelphia Phillie pitcher on the pitchers mound with his left leg up behind him
ski person small backpack gray dark;Person hiking up a rocky slope with white objects in front of them
American_Staffordshire_terrier Staffordshire_bullterrier big dog peru bright;Black dog with white paws runs on barren field
paddle big person slategray;A man in swim trunks and a red life vest jet skiing
unicycle big person small bottle big bench dimgray;A man in a red jacket is sitting on a bench whilst cooking a meal
unicycle big person small bottle big bench dimgray;A man wearing a red jacket is sitting on a wooden bench and is cooking something in a small pot
person small person small person small person small person small person kite small person small person small person small handbag small person lightslategray;A woman plays with long red ribbons in an empty square
big person big person small tie gray;A man with a large beard and a woman wearing a white necklace smile
big person bed gray;A girl is jumping on the bed
cloak big person dimgray;A woman wearing a red scarf smiles in front of a mountain background
unicycle big person small bottle big bench dimgray;a man wearing a red jacket sitting on a bench next to various camping items
ski skis person gray;A child skis across the snowy ground
bannister person handbag gray;Man with a yellow coat and a cardboard sign
whippet dog dog small sports ball gray;These two dogs are outside
volleyball person person gray;Two kids chasing each other in the sand
parachute small person small surfboard dimgray;A surfer is riding on a breaking wave
volleyball big person big person small sports ball slategray bright;Two women play volleyball on the sand
maypole person big person small tie tie person person small tie person person small tie small tie small person umbrella small person person person gray;Men in uniform
mountain_bike big person bicycle big person big snowboard big person bicycle slategray;Two men and a woman pose with signs for Obama and Chris Gregoire
big person bed gray;Young girl jumping on a bed
ski skis person gray;There is a little child in a snowsuit on red skies in the snow
ski person backpack gray bright;A man measures the depth of snow
cloak big person dimgray;A woman in a red scarf smiles for the camera
tricycle barrow lawn_mower big person bicycle big potted plant dimgray;A girl runs through sprinklers on a lawn
bannister person handbag gray;Older woman in yellow jacket
soccer_ball maze person small bench small bench small bench gray;A little girl in a green shirt and pink shorts is running up a grassy hill near a pavilion
person small person small person small skateboard small skateboard small skateboard gray;A man doing a skateboard trick on a skateboard ramp
theater_curtain barn skateboard person indianred;A girl on a skateboard is riding on a cement ledge next to a fence
